Continent ID,Continent,Country ID,Country,ISO 3,Trade Value
oc,Oceania,ocnzl,New Zealand,nzl,459138400
oc,Oceania,ocpng,Papua New Guinea,png,592476118
oc,Oceania,ocslb,Solomon Islands,slb,45822
oc,Oceania,ocwsm,Samoa,wsm,1247
sa,South America,saarg,Argentina,arg,766766294
sa,South America,sabol,Bolivia,bol,84444961
sa,South America,sabra,Brazil,bra,11243335301
sa,South America,sachl,Chile,chl,6447430
sa,South America,sacol,Colombia,col,8146821487
sa,South America,saecu,Ecuador,ecu,5156955538
sa,South America,saper,Peru,per,45079112
sa,South America,saury,Uruguay,ury,12
sa,South America,saven,Venezuela,ven,18496160229
